Наименование,Наименование артикула,Код артикула,Валюта,ID артикула,Цена,Доступен для заказа,Зачеркнутая цена,Закупочная цена,В наличии,ID товара,Краткое описание,Описание,Наклейка,Статус,Выбор вариантов товара,Теги,Облагается налогом,Заголовок,META Keywords,META Description,Ссылка на витрину,Адрес видео на YouTube или Vimeo,Дополнительные параметры,Изображения товаров,Цвет,Материал,Высота,Толщина,Ширина,Размер,Открывание,Тип товаров,Остекление
Дверь Рондо 3,ДВ-РОН-17,ДВ-РОН-17,RUB,17,20200,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/89b/%D0%A0%D0%BE%D0%BD%D0%B4%D0%BE3.jpg,,,,,,,,Дверь Оникс,
Дверь Рондо,ДВ-РОН-18,ДВ-РОН-18,RUB,18,11300,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/7e9/ukfdyfz.png,,,,,,,,Дверь Оникс,
Дверь Сити,ДВ-СИТ-19,ДВ-СИТ-19,RUB,19,10900,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/f1d/%D0%A1%D0%BA%D1%80%D0%B8%D0%BD%D1%88%D0%BE%D1%82%2025-01-2019%20101943.jpg,,,,,,,,Дверь Оникс,
Дверь Соло,ДВ-СОЛ-20,ДВ-СОЛ-20,RUB,20,11200,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/789/%D1%81%D0%BE%D0%BB%D0%BE.jpg,,,,,,,,Дверь Оникс,
Дверь Соната,ДВ-СОН-21,ДВ-СОН-21,RUB,21,10900,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/af7/%D1%81%D0%BE%D0%BD%D0%B0%D1%82%D0%B0.jpg,,,,,,,,Дверь Оникс,
Дверь Твист,ДВ-ТВИ-22,ДВ-ТВИ-22,RUB,22,28200,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/92b/%D0%A2%D0%B2%D0%B8%D1%81%D1%82%201%20%D1%81%D0%BE%D0%B1%D1%80.jpg,,,,,,,,Дверь Оникс,
Дверь Тектон 5,ДВ-ТЕК-23,ДВ-ТЕК-23,RUB,23,11500,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/fb0/%D1%82%D0%B5%D0%BA%D1%82%D0%BE%D0%BD%20%D0%B0%D0%BA%D0%B0%D1%86%D0%B8%D1%8F.jpg,,,,,,,,Дверь Оникс,
Дверь Тектон 3,ДВ-ТЕК-24,ДВ-ТЕК-24,RUB,24,11500,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/0bd/%D0%A1%D0%BA%D1%80%D0%B8%D0%BD%D1%88%D0%BE%D1%82%2028-08-2019%20135030.jpg,,,,,,,,Дверь Оникс,
Дверь Техно с молдингами,ДВ-ТЕХ-25,ДВ-ТЕХ-25,RUB,25,9900,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/169/%D1%82%D0%B5%D1%85%D0%BD%D0%BE.jpg,,,,,,,,Дверь Оникс,
Дверь Техно,ДВ-ТЕХ-26,ДВ-ТЕХ-26,RUB,26,9900,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/04f/%D0%94%D1%83%D0%B1%20%D1%84%D0%B0%D0%B9%20%D0%BB%D0%B0%D0%B9%D0%BD%20-%20%D0%A2%D0%B5%D1%85%D0%BD%D0%BE%20%D1%80%D0%B8%D1%81%2054%20%D0%B0%D0%BD%D0%BE%D0%BD%D1%81.jpg,,,,,,,,Дверь Оникс,
Дверь Урбан,ДВ-УРБ-27,ДВ-УРБ-27,RUB,27,10500,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/8ba/%D1%83%D1%80%D0%B1%D0%B0%D0%BD%20%D1%8D%D0%B1%D0%B5%D0%BD.jpg,,,,,,,,Дверь Оникс,
